speed_mps,yaw_rate_radps,turn_radius_m,lateral_accel_mps2,head_turn_force_n,head_turn_plus_shock_force_n,lateral_retention_margin
0.2,0.2,1.0,0.04000000000000001,0.026000000000000006,6.4003225,3.4373267909546747
0.2,0.4,0.5,0.08000000000000002,0.05200000000000001,6.4263224999999995,3.4234198485992575
0.2,0.6,0.33333333333333337,0.12,0.078,6.452322499999999,3.409624983872087
0.2,0.8,0.25,0.16000000000000003,0.10400000000000002,6.4783225,3.3959408473412678
0.2,1.0,0.2,0.2,0.13,6.5043225,3.382366111151469
0.2,1.2,0.16666666666666669,0.24,0.156,6.5303225,3.368899468594392
0.4,0.2,2.0,0.08000000000000002,0.05200000000000001,6.4263224999999995,3.4234198485992575
0.4,0.4,1.0,0.16000000000000003,0.10400000000000002,6.4783225,3.3959408473412678
0.4,0.6,0.6666666666666667,0.24,0.156,6.5303225,3.368899468594392
0.4,0.8,0.5,0.32000000000000006,0.20800000000000005,6.5823225,3.3422853407744757
0.4,1.0,0.4,0.4,0.26,6.6343225,3.3160884174684004
0.4,1.2,0.33333333333333337,0.48,0.312,6.6863225,3.290298964789688
0.6,0.2,2.9999999999999996,0.12,0.078,6.452322499999999,3.409624983872087
0.6,0.4,1.4999999999999998,0.24,0.156,6.5303225,3.368899468594392
0.6,0.6,1.0,0.36,0.23399999999999999,6.6083225,3.3291353441058606
0.6,0.8,0.7499999999999999,0.48,0.312,6.6863225,3.290298964789688
0.6,1.0,0.6,0.6,0.39,6.7643225,3.2523582369113835
0.6,1.2,0.5,0.72,0.46799999999999997,6.8423225,3.215282530164283
0.8,0.2,4.0,0.16000000000000003,0.10400000000000002,6.4783225,3.3959408473412678
0.8,0.4,2.0,0.32000000000000006,0.20800000000000005,6.5823225,3.3422853407744757
0.8,0.6,1.3333333333333335,0.48,0.312,6.6863225,3.290298964789688
0.8,0.8,1.0,0.6400000000000001,0.4160000000000001,6.7903225,3.239905026602197
0.8,1.0,0.8,0.8,0.52,6.8943225,3.1910314610318853
0.8,1.2,0.6666666666666667,0.96,0.624,6.9983225,3.1436104866559096
1.0,0.2,5.0,0.2,0.13,6.5043225,3.382366111151469
1.0,0.4,2.5,0.4,0.26,6.6343225,3.3160884174684004
1.0,0.6,1.6666666666666667,0.6,0.39,6.7643225,3.2523582369113835
1.0,0.8,1.25,0.8,0.52,6.8943225,3.1910314610318853
1.0,1.0,1.0,1.0,0.65,7.0243225,3.1319746495124616
1.0,1.2,0.8333333333333334,1.2,0.78,7.154322499999999,3.0750640609226103
1.2,0.2,5.999999999999999,0.24,0.156,6.5303225,3.368899468594392
1.2,0.4,2.9999999999999996,0.48,0.312,6.6863225,3.290298964789688
1.2,0.6,2.0,0.72,0.46799999999999997,6.8423225,3.215282530164283
1.2,0.8,1.4999999999999998,0.96,0.624,6.9983225,3.1436104866559096
1.2,1.0,1.2,1.2,0.78,7.154322499999999,3.0750640609226103
1.2,1.2,1.0,1.44,0.9359999999999999,7.3103225,3.0094431538417084
