accel_mps2,required_force_n,motor_torque_each_nm,traction_margin,pendulum_lean_deg
0.0,1.765197,0.0588399,63.44900880751554,0.0
0.1,2.445197,0.08150656666666667,45.8040804074273,0.5842341036424438
0.2,3.125197,0.10417323333333335,35.837740788820675,1.168346741168558
0.3,3.8051969999999997,0.1268399,29.43343012201471,1.7522165979154232
0.4,4.485197,0.14950656666666667,24.97103248753622,2.3357226616551405
0.5,5.165197,0.17217323333333334,21.6835872862158,2.9187443726355857
0.6,5.845197,0.1948399,19.161030842929673,3.501161772216703
0.7,6.5251969999999995,0.21750656666666668,17.164232742704936,4.08285564964686
0.8,7.205197,0.24017323333333335,15.544335567785309,4.6637076865344955
0.9,7.885197,0.2628399,14.203830291113842,5.243600598583489
1.0,8.565197,0.2855065666666667,13.076173262564772,5.8224182741762585
1.1,9.245197000000001,0.3081732333333334,12.114398427637614,6.400045909406391
1.2,9.925197,0.3308399000000001,11.28441077794224,6.976370139182464
1.3,10.605197,0.35350656666666674,10.56085992556291,7.551279164046511
1.4,11.285197,0.3761732333333334,9.924505527019155,8.124662872373973
1.5,11.965197,0.39883989999999997,9.360481068552403,8.696412957647047
1.6,12.645197000000001,0.42150656666666675,8.85711784482282,9.266423030519423
1.7,13.325197,0.4441732333333333,8.405129019856142,9.834588725417873
1.8,14.005197,0.4668399000000001,7.997031387705578,10.400807801454215
1.9,14.685197,0.48950656666666675,7.626727785810432,10.964980237449879
2.0,15.365197,0.5121732333333333,7.289200392289145,11.527008320904656
