vertical_shock_g,lateral_shock_g,head_lateral_force_n,mast_bending_stress_mpa,mast_yield_safety_factor,rail_bending_stress_mpa,rail_yield_safety_factor,rail_deflection_mm
1.0,0.0,0.39,0.188709,1462.570118,9.125462,30.245043,0.267959
1.0,0.5,3.577161,1.730877,159.456705,9.125462,30.245043,0.267959
1.0,1.0,6.764322,3.273046,84.325126,9.125462,30.245043,0.267959
1.0,1.5,9.951484,4.815214,57.318322,9.125462,30.245043,0.267959
1.5,0.0,0.39,0.188709,1462.570118,13.688194,20.163362,0.401939
1.5,0.5,3.577161,1.730877,159.456705,13.688194,20.163362,0.401939
1.5,1.0,6.764322,3.273046,84.325126,13.688194,20.163362,0.401939
1.5,1.5,9.951484,4.815214,57.318322,13.688194,20.163362,0.401939
2.0,0.0,0.39,0.188709,1462.570118,18.250925,15.122521,0.535919
2.0,0.5,3.577161,1.730877,159.456705,18.250925,15.122521,0.535919
2.0,1.0,6.764322,3.273046,84.325126,18.250925,15.122521,0.535919
2.0,1.5,9.951484,4.815214,57.318322,18.250925,15.122521,0.535919
2.5,0.0,0.39,0.188709,1462.570118,22.813656,12.098017,0.669898
2.5,0.5,3.577161,1.730877,159.456705,22.813656,12.098017,0.669898
2.5,1.0,6.764322,3.273046,84.325126,22.813656,12.098017,0.669898
2.5,1.5,9.951484,4.815214,57.318322,22.813656,12.098017,0.669898
3.0,0.0,0.39,0.188709,1462.570118,27.376387,10.081681,0.803878
3.0,0.5,3.577161,1.730877,159.456705,27.376387,10.081681,0.803878
3.0,1.0,6.764322,3.273046,84.325126,27.376387,10.081681,0.803878
3.0,1.5,9.951484,4.815214,57.318322,27.376387,10.081681,0.803878
3.5,0.0,0.39,0.188709,1462.570118,31.939118,8.641441,0.937858
3.5,0.5,3.577161,1.730877,159.456705,31.939118,8.641441,0.937858
3.5,1.0,6.764322,3.273046,84.325126,31.939118,8.641441,0.937858
3.5,1.5,9.951484,4.815214,57.318322,31.939118,8.641441,0.937858
4.0,0.0,0.39,0.188709,1462.570118,36.50185,7.561261,1.071837
4.0,0.5,3.577161,1.730877,159.456705,36.50185,7.561261,1.071837
4.0,1.0,6.764322,3.273046,84.325126,36.50185,7.561261,1.071837
4.0,1.5,9.951484,4.815214,57.318322,36.50185,7.561261,1.071837
