logic_power_ok,safe_a_ok,safe_b_ok,alert_n,pwm_l_in,pwm_r_in,pwm_l_out,pwm_r_out
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0
0,0,0,1,1,1,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0
0,0,1,0,1,1,0,0
0,0,1,1,0,0,0,0
0,0,1,1,0,1,0,0
0,0,1,1,1,0,0,0
0,0,1,1,1,1,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0
0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,0
0,1,0,1,0,0,0,0
0,1,0,1,0,1,0,0
0,1,0,1,1,0,0,0
0,1,0,1,1,1,0,0
0,1,1,0,0,0,0,0
0,1,1,0,0,1,0,0
0,1,1,0,1,0,0,0
0,1,1,0,1,1,0,0
0,1,1,1,0,0,0,0
0,1,1,1,0,1,0,0
0,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0
1,0,0,1,1,1,0,0
1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,0
1,0,1,0,1,0,0,0
1,0,1,0,1,1,0,0
1,0,1,1,0,0,0,0
1,0,1,1,0,1,0,0
1,0,1,1,1,0,0,0
1,0,1,1,1,1,0,0
1,1,0,0,0,0,0,0
1,1,0,0,0,1,0,0
1,1,0,0,1,0,0,0
1,1,0,0,1,1,0,0
1,1,0,1,0,0,0,0
1,1,0,1,0,1,0,0
1,1,0,1,1,0,0,0
1,1,0,1,1,1,0,0
1,1,1,0,0,0,0,0
1,1,1,0,0,1,0,0
1,1,1,0,1,0,0,0
1,1,1,0,1,1,0,0
1,1,1,1,0,0,0,0
1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1
