position_from_inner_stop_mm,jackscrew_turns_from_inner_stop,wheel_center_radius_mm,free_crowned_support_mm,signed_shell_interference_mm,support_axial_coordinate_mm,wheel_center_track_mm,analytic_shell_contact_track_mm,setup_state
0.00,0.00,203.000,251.000,-3.000,0.000,305.485,382.233,FREE_CLEARANCE
0.50,0.50,203.500,251.500,-2.500,0.000,306.238,382.233,FREE_CLEARANCE
1.00,1.00,204.000,252.000,-2.000,0.000,306.990,382.233,FREE_CLEARANCE
1.50,1.50,204.500,252.500,-1.500,0.000,307.743,382.233,FREE_CLEARANCE
2.00,2.00,205.000,253.000,-1.000,0.000,308.495,382.233,FREE_CLEARANCE
2.50,2.50,205.500,253.500,-0.500,0.000,309.248,382.233,FREE_CLEARANCE
3.00,3.00,206.000,254.000,0.000,0.000,310.000,382.233,NOMINAL_FIRST_CONTACT
3.50,3.50,206.500,254.500,0.500,0.000,310.752,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
4.00,4.00,207.000,255.000,1.000,0.000,311.505,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
4.50,4.50,207.500,255.500,1.500,0.000,312.257,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
5.00,5.00,208.000,256.000,2.000,0.000,313.010,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
5.50,5.50,208.500,256.500,2.500,0.000,313.762,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
6.00,6.00,209.000,257.000,3.000,0.000,314.515,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
6.50,6.50,209.500,257.500,3.500,0.000,315.267,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
7.00,7.00,210.000,258.000,4.000,0.000,316.019,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
7.50,7.50,210.500,258.500,4.500,0.000,316.772,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
8.00,8.00,211.000,259.000,5.000,0.000,317.524,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
8.50,8.50,211.500,259.500,5.500,0.000,318.277,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
9.00,9.00,212.000,260.000,6.000,0.000,319.029,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
9.50,9.50,212.500,260.500,6.500,0.000,319.782,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
10.00,10.00,213.000,261.000,7.000,0.000,320.534,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
10.50,10.50,213.500,261.500,7.500,0.000,321.286,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
11.00,11.00,214.000,262.000,8.000,0.000,322.039,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
11.50,11.50,214.500,262.500,8.500,0.000,322.791,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
12.00,12.00,215.000,263.000,9.000,0.000,323.544,382.233,FORCE_CONTROL_REQUIRED_DO_NOT_SET_BY_TURNS_ALONE
